City,2010,2018
United States,"309,321,666","326,687,501"
".Abilene, TX Metro Area","165,585","171,150"
".Akron, OH Metro Area","703,031","703,855"
".Albany, GA Metro Area","154,145","147,840"
".Albany-Lebanon, OR Metro Area","116,891","127,451"
".Albany-Schenectady-Troy, NY Metro Area","871,082","882,263"
".Albuquerque, NM Metro Area","889,558","914,947"
".Alexandria, LA Metro Area","154,096","152,762"
".Allentown-Bethlehem-Easton, PA-NJ Metro Area","821,923","842,626"
".Altoona, PA Metro Area","127,045","122,503"
".Amarillo, TX Metro Area","252,664","264,406"
".Ames, IA Metro Area","115,925","123,093"
".Anchorage, AK Metro Area","383,053","397,636"
".Ann Arbor, MI Metro Area","345,717","369,483"
".Anniston-Oxford, AL Metro Area","118,408","114,331"
".Appleton, WI Metro Area","225,948","237,011"
".Asheville, NC Metro Area","425,338","459,314"
".Athens-Clarke County, GA Metro Area","193,439","211,468"
".Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5,302,598","5,945,303"
".Atlantic City-Hammonton, NJ Metro Area","274,648","263,989"
".Auburn-Opelika, AL Metro Area","140,794","163,656"
".Augusta-Richmond County, GA-SC Metro Area","566,694","604,221"
".Austin-Round Rock-Georgetown, TX Metro Area","1,727,502","2,165,497"
".Bakersfield, CA Metro Area","840,996","893,758"
".Baltimore-Columbia-Towson, MD Metro Area","2,715,738","2,800,743"
".Bangor, ME Metro Area","153,861","151,817"
".Barnstable Town, MA Metro Area","215,899","213,471"
".Baton Rouge, LA Metro Area","827,629","854,526"
".Battle Creek, MI Metro Area","135,951","134,049"
".Bay City, MI Metro Area","107,679","103,702"
".Beaumont-Port Arthur, TX Metro Area","389,251","393,815"
".Beckley, WV Metro Area","124,949","117,154"
".Bellingham, WA Metro Area","201,545","225,197"
".Bend, OR Metro Area","157,742","191,905"
".Billings, MT Metro Area","167,571","180,203"
".Binghamton, NY Metro Area","251,489","240,366"
".Birmingham-Hoover, AL Metro Area","1,061,717","1,087,967"
".Bismarck, ND Metro Area","111,112","128,279"
".Blacksburg-Christiansburg, VA Metro Area","163,131","167,492"
".Bloomington, IL Metro Area","169,810","172,410"
".Bloomington, IN Metro Area","160,132","168,092"
".Bloomsburg-Berwick, PA Metro Area","85,657","83,455"
".Boise City, ID Metro Area","617,866","728,911"
".Boston-Cambridge-Newton, MA-NH Metro Area","4,566,348","4,859,536"
".Boulder, CO Metro Area","295,037","324,636"
".Bowling Green, KY Metro Area","159,341","176,864"
".Bremerton-Silverdale-Port Orchard, WA Metro Area","251,681","269,276"
".Bridgeport-Stamford-Norwalk, CT Metro Area","919,355","943,971"
".Brownsville-Harlingen, TX Metro Area","407,630","422,139"
".Brunswick, GA Metro Area","112,534","118,282"
".Buffalo-Cheektowaga, NY Metro Area","1,135,627","1,129,777"
".Burlington, NC Metro Area","151,431","166,514"
".Burlington-South Burlington, VT Metro Area","211,538","219,939"
".California-Lexington Park, MD Metro Area","105,761","112,720"
".Canton-Massillon, OH Metro Area","404,218","398,330"
".Cape Coral-Fort Myers, FL Metro Area","620,449","754,470"
".Cape Girardeau, MO-IL Metro Area","96,447","96,868"
".Carbondale-Marion, IL Metro Area","139,409","136,694"
".Carson City, NV Metro Area","54,981","55,202"
".Casper, WY Metro Area","75,470","79,175"
".Cedar Rapids, IA Metro Area","258,440","272,061"
".Chambersburg-Waynesboro, PA Metro Area","149,925","154,579"
".Champaign-Urbana, IL Metro Area","218,255","226,284"
".Charleston, WV Metro Area","277,805","260,280"
".Charleston-North Charleston, SC Metro Area","667,450","788,122"
".Charlotte-Concord-Gastonia, NC-SC Metro Area","2,250,121","2,592,950"
".Charlottesville, VA Metro Area","201,891","217,335"
".Chattanooga, TN-GA Metro Area","529,131","560,832"
".Cheyenne, WY Metro Area","92,236","98,865"
".Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9,470,634","9,484,158"
".Chico, CA Metro Area","219,949","230,339"
".Cincinnati, OH-KY-IN Metro Area","2,140,715","2,211,936"
".Clarksville, TN-KY Metro Area","274,959","304,301"
".Cleveland, TN Metro Area","115,896","123,968"
".Cleveland-Elyria, OH Metro Area","2,075,478","2,053,795"
".Coeur d'Alene, ID Metro Area","138,848","161,209"
".College Station-Bryan, TX Metro Area","229,458","261,335"
".Colorado Springs, CO Metro Area","650,500","737,202"
".Columbia, MO Metro Area","190,947","206,746"
".Columbia, SC Metro Area","769,646","831,690"
".Columbus, GA-AL Metro Area","309,476","318,211"
".Columbus, IN Metro Area","76,818","82,722"
".Columbus, OH Metro Area","1,906,366","2,104,194"
".Corpus Christi, TX Metro Area","404,676","428,697"
".Corvallis, OR Metro Area","85,574","92,442"
".Crestview-Fort Walton Beach-Destin, FL Metro Area","235,932","277,666"
".Cumberland, MD-WV Metro Area","103,170","97,894"
".Dallas-Fort Worth-Arlington, TX Metro Area","6,392,065","7,455,756"
".Dalton, GA Metro Area","142,278","144,192"
".Danville, IL Metro Area","81,640","76,702"
".Daphne-Fairhope-Foley, AL Metro Area","183,112","217,855"
".Davenport-Moline-Rock Island, IA-IL Metro Area","379,743","380,044"
".Dayton-Kettering, OH Metro Area","799,672","805,088"
".Decatur, AL Metro Area","153,950","152,144"
".Decatur, IL Metro Area","110,787","104,504"
".Deltona-Daytona Beach-Ormond Beach, FL Metro Area","590,506","658,186"
".Denver-Aurora-Lakewood, CO Metro Area","2,554,523","2,931,665"
".Des Moines-West Des Moines, IA Metro Area","608,930","690,915"
".Detroit-Warren-Dearborn, MI Metro Area","4,291,508","4,322,084"
".Dothan, AL Metro Area","145,871","148,249"
".Dover, DE Metro Area","162,956","178,540"
".Dubuque, IA Metro Area","93,929","96,922"
".Duluth, MN-WI Metro Area","290,542","289,260"
".Durham-Chapel Hill, NC Metro Area","566,267","637,501"
".East Stroudsburg, PA Metro Area","169,849","169,294"
".Eau Claire, WI Metro Area","161,655","168,464"
".El Centro, CA Metro Area","174,716","181,523"
".Elizabethtown-Fort Knox, KY Metro Area","149,833","153,201"
".Elkhart-Goshen, IN Metro Area","197,451","205,617"
".Elmira, NY Metro Area","88,895","83,935"
".El Paso, TX Metro Area","807,048","841,613"
".Enid, OK Metro Area","60,765","61,095"
".Erie, PA Metro Area","280,799","271,544"
".Eugene-Springfield, OR Metro Area","351,920","378,549"
".Evansville, IN-KY Metro Area","311,802","314,660"
".Fairbanks, AK Metro Area","98,264","98,565"
".Fargo, ND-MN Metro Area","209,455","244,311"
".Farmington, NM Metro Area","130,203","125,499"
".Fayetteville, NC Metro Area","490,446","522,461"
".Fayetteville-Springdale-Rogers, AR Metro Area","442,301","525,239"
".Flagstaff, AZ Metro Area","134,612","142,523"
".Flint, MI Metro Area","424,953","406,688"
".Florence, SC Metro Area","205,662","205,036"
".Florence-Muscle Shoals, AL Metro Area","147,261","147,608"
".Fond du Lac, WI Metro Area","101,576","103,001"
".Fort Collins, CO Metro Area","300,441","350,660"
".Fort Smith, AR-OK Metro Area","248,344","250,298"
".Fort Wayne, IN Metro Area","389,298","409,126"
".Fresno, CA Metro Area","932,039","991,950"
".Gadsden, AL Metro Area","104,459","102,611"
".Gainesville, FL Metro Area","305,334","327,933"
".Gainesville, GA Metro Area","180,033","201,538"
".Gettysburg, PA Metro Area","101,479","103,062"
".Glens Falls, NY Metro Area","129,021","125,489"
".Goldsboro, NC Metro Area","122,886","123,237"
".Grand Forks, ND-MN Metro Area","98,633","101,766"
".Grand Island, NE Metro Area","72,936","75,476"
".Grand Junction, CO Metro Area","146,259","152,951"
".Grand Rapids-Kentwood, MI Metro Area","994,262","1,071,370"
".Grants Pass, OR Metro Area","82,879","87,150"
".Great Falls, MT Metro Area","81,507","81,688"
".Greeley, CO Metro Area","254,207","314,815"
".Green Bay, WI Metro Area","306,754","321,384"
".Greensboro-High Point, NC Metro Area","725,264","766,473"
".Greenville, NC Metro Area","168,863","179,575"
".Greenville-Anderson, SC Metro Area","825,625","907,028"
".Gulfport-Biloxi, MS Metro Area","389,324","414,686"
".Hagerstown-Martinsburg, MD-WV Metro Area","269,833","285,722"
".Hammond, LA Metro Area","121,485","133,837"
".Hanford-Corcoran, CA Metro Area","152,370","151,382"
".Harrisburg-Carlisle, PA Metro Area","550,088","574,149"
".Harrisonburg, VA Metro Area","125,401","134,749"
".Hartford-East Hartford-Middletown, CT Metro Area","1,214,091","1,206,139"
".Hattiesburg, MS Metro Area","162,856","168,292"
".Hickory-Lenoir-Morganton, NC Metro Area","365,565","368,449"
".Hilton Head Island-Bluffton, SC Metro Area","187,777","218,023"
".Hinesville, GA Metro Area","77,339","79,697"
".Homosassa Springs, FL Metro Area","141,173","147,682"
".Hot Springs, AR Metro Area","96,067","98,966"
".Houma-Thibodaux, LA Metro Area","208,251","209,144"
".Houston-The Woodlands-Sugar Land, TX Metro Area","5,947,236","6,976,147"
".Huntington-Ashland, WV-KY-OH Metro Area","371,065","359,069"
".Huntsville, AL Metro Area","419,276","463,181"
".Idaho Falls, ID Metro Area","133,813","148,436"
".Indianapolis-Carmel-Anderson, IN Metro Area","1,892,640","2,052,368"
".Iowa City, IA Metro Area","153,025","172,607"
".Ithaca, NY Metro Area","101,740","102,419"
".Jackson, MI Metro Area","160,109","158,566"
".Jackson, MS Metro Area","588,272","597,376"
".Jackson, TN Metro Area","179,762","178,315"
".Jacksonville, FL Metro Area","1,348,907","1,532,663"
".Jacksonville, NC Metro Area","186,892","196,915"
".Janesville-Beloit, WI Metro Area","160,260","162,874"
".Jefferson City, MO Metro Area","149,991","151,512"
".Johnson City, TN Metro Area","199,010","202,900"
".Johnstown, PA Metro Area","143,461","131,449"
".Jonesboro, AR Metro Area","121,263","132,719"
".Joplin, MO Metro Area","175,833","178,613"
".Kahului-Wailuku-Lahaina, HI Metro Area","155,020","166,972"
".Kalamazoo-Portage, MI Metro Area","250,751","264,680"
".Kankakee, IL Metro Area","113,418","109,953"
".Kansas City, MO-KS Metro Area","2,013,361","2,144,427"
".Kennewick-Richland, WA Metro Area","255,542","295,289"
".Killeen-Temple, TX Metro Area","408,262","451,272"
".Kingsport-Bristol, TN-VA Metro Area","309,480","306,736"
".Kingston, NY Metro Area","182,418","178,418"
".Knoxville, TN Metro Area","815,984","861,234"
".Kokomo, IN Metro Area","82,752","82,257"
".La Crosse-Onalaska, WI-MN Metro Area","133,897","136,613"
".Lafayette, LA Metro Area","467,612","489,680"
".Lafayette-West Lafayette, IN Metro Area","210,687","230,938"
".Lake Charles, LA Metro Area","199,943","210,190"
".Lake Havasu City-Kingman, AZ Metro Area","200,314","209,292"
".Lakeland-Winter Haven, FL Metro Area","603,102","706,597"
".Lancaster, PA Metro Area","520,319","543,969"
".Lansing-East Lansing, MI Metro Area","534,899","548,674"
".Laredo, TX Metro Area","251,370","275,120"
".Las Cruces, NM Metro Area","210,097","217,278"
".Las Vegas-Henderson-Paradise, NV Metro Area","1,952,587","2,226,115"
".Lawrence, KS Metro Area","111,198","121,109"
".Lawton, OK Metro Area","131,569","126,348"
".Lebanon, PA Metro Area","133,664","141,339"
".Lewiston, ID-WA Metro Area","61,040","62,872"
".Lewiston-Auburn, ME Metro Area","107,708","107,914"
".Lexington-Fayette, KY Metro Area","473,412","514,938"
".Lima, OH Metro Area","106,358","102,725"
".Lincoln, NE Metro Area","302,961","333,800"
".Little Rock-North Little Rock-Conway, AR Metro Area","702,294","740,081"
".Logan, UT-ID Metro Area","126,167","140,104"
".Longview, TX Metro Area","280,487","285,315"
".Longview, WA Metro Area","102,358","108,752"
".Los Angeles-Long Beach-Anaheim, CA Metro Area","12,838,417","13,249,879"
".Louisville/Jefferson County, KY-IN Metro Area","1,204,655","1,262,023"
".Lubbock, TX Metro Area","292,241","319,239"
".Lynchburg, VA Metro Area","252,969","262,893"
".Macon-Bibb County, GA Metro Area","232,199","229,594"
".Madera, CA Metro Area","150,986","156,882"
".Madison, WI Metro Area","606,625","659,927"
".Manchester-Nashua, NH Metro Area","401,055","414,630"
".Manhattan, KS Metro Area","128,521","131,698"
".Mankato, MN Metro Area","96,844","101,577"
".Mansfield, OH Metro Area","124,162","120,987"
".McAllen-Edinburg-Mission, TX Metro Area","779,149","862,298"
".Medford, OR Metro Area","203,341","219,411"
".Memphis, TN-MS-AR Metro Area","1,317,489","1,342,497"
".Merced, CA Metro Area","256,721","274,151"
".Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","5,583,394","6,143,837"
".Michigan City-La Porte, IN Metro Area","111,459","109,981"
".Midland, MI Metro Area","83,651","83,223"
".Midland, TX Metro Area","141,783","178,186"
".Milwaukee-Waukesha, WI Metro Area","1,556,678","1,573,995"
".Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3,340,007","3,610,061"
".Missoula, MT Metro Area","109,467","118,640"
".Mobile, AL Metro Area","430,941","430,310"
".Modesto, CA Metro Area","515,145","548,126"
".Monroe, LA Metro Area","204,675","202,138"
".Monroe, MI Metro Area","151,936","150,174"
".Montgomery, AL Metro Area","375,119","373,022"
".Morgantown, WV Metro Area","130,308","139,204"
".Morristown, TN Metro Area","136,945","141,778"
".Mount Vernon-Anacortes, WA Metro Area","116,944","127,835"
".Muncie, IN Metro Area","117,665","114,297"
".Muskegon, MI Metro Area","171,913","173,599"
".Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","378,343","480,985"
".Napa, CA Metro Area","136,759","138,789"
".Naples-Marco Island, FL Metro Area","322,581","378,201"
".Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","1,650,831","1,904,726"
".New Bern, NC Metro Area","127,423","124,584"
".New Haven-Milford, CT Metro Area","863,357","856,971"
".New Orleans-Metairie, LA Metro Area","1,195,324","1,270,133"
".New York-Newark-Jersey City, NY-NJ-PA Metro Area","18,923,407","19,276,644"
".Niles, MI Metro Area","156,737","153,790"
".North Port-Sarasota-Bradenton, FL Metro Area","703,354","820,716"
".Norwich-New London, CT Metro Area","274,004","266,285"
".Ocala, FL Metro Area","331,331","359,062"
".Ocean City, NJ Metro Area","97,212","92,446"
".Odessa, TX Metro Area","137,075","161,960"
".Ogden-Clearfield, UT Metro Area","599,740","673,660"
".Oklahoma City, OK Metro Area","1,257,793","1,393,605"
".Olympia-Lacey-Tumwater, WA Metro Area","253,001","286,056"
".Omaha-Council Bluffs, NE-IA Metro Area","867,671","940,970"
".Orlando-Kissimmee-Sanford, FL Metro Area","2,139,161","2,574,838"
".Oshkosh-Neenah, WI Metro Area","167,073","170,878"
".Owensboro, KY Metro Area","114,770","118,879"
".Oxnard-Thousand Oaks-Ventura, CA Metro Area","825,097","848,142"
".Palm Bay-Melbourne-Titusville, FL Metro Area","543,965","595,203"
".Panama City, FL Metro Area","169,206","186,240"
".Parkersburg-Vienna, WV Metro Area","92,698","89,991"
".Pensacola-Ferry Pass-Brent, FL Metro Area","450,946","494,399"
".Peoria, IL Metro Area","416,051","403,328"
".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","5,970,899","6,091,208"
".Phoenix-Mesa-Chandler, AZ Metro Area","4,204,204","4,849,209"
".Pine Bluff, AR Metro Area","100,107","89,246"
".Pittsburgh, PA Metro Area","2,357,090","2,322,653"
".Pittsfield, MA Metro Area","131,317","125,901"
".Pocatello, ID Metro Area","90,892","94,374"
".Portland-South Portland, ME Metro Area","513,911","535,232"
".Portland-Vancouver-Hillsboro, OR-WA Metro Area","2,232,181","2,473,350"
".Port St. Lucie, FL Metro Area","425,173","481,167"
".Poughkeepsie-Newburgh-Middletown, NY Metro Area","671,173","676,065"
".Prescott Valley-Prescott, AZ Metro Area","210,983","231,772"
".Providence-Warwick, RI-MA Metro Area","1,603,125","1,622,379"
".Provo-Orem, UT Metro Area","530,262","633,149"
".Pueblo, CO Metro Area","159,390","167,422"
".Punta Gorda, FL Metro Area","159,875","184,849"
".Racine, WI Metro Area","195,406","196,357"
".Raleigh-Cary, NC Metro Area","1,137,383","1,361,590"
".Rapid City, SD Metro Area","126,727","140,154"
".Reading, PA Metro Area","412,039","420,529"
".Redding, CA Metro Area","177,274","179,709"
".Reno, NV Metro Area","425,951","468,335"
".Richmond, VA Metro Area","1,188,246","1,281,053"
".Riverside-San Bernardino-Ontario, CA Metro Area","4,242,424","4,612,542"
".Roanoke, VA Metro Area","308,589","313,033"
".Rochester, MN Metro Area","207,222","219,814"
".Rochester, NY Metro Area","1,079,974","1,071,621"
".Rockford, IL Metro Area","349,184","337,110"
".Rocky Mount, NC Metro Area","152,405","146,078"
".Rome, GA Metro Area","96,431","97,964"
".Sacramento-Roseville-Folsom, CA Metro Area","2,153,613","2,341,940"
".Saginaw, MI Metro Area","199,862","190,791"
".St. Cloud, MN Metro Area","189,218","200,166"
".St. George, UT Metro Area","138,389","171,567"
".St. Joseph, MO-KS Metro Area","127,271","125,998"
".St. Louis, MO-IL Metro Area","2,789,989","2,803,958"
".Salem, OR Metro Area","391,479","430,404"
".Salinas, CA Metro Area","416,373","433,950"
".Salisbury, MD-DE Metro Area","374,821","409,999"
".Salt Lake City, UT Metro Area","1,091,478","1,218,681"
".San Angelo, TX Metro Area","113,422","120,834"
".San Antonio-New Braunfels, TX Metro Area","2,153,009","2,512,379"
".San Diego-Chula Vista-Carlsbad, CA Metro Area","3,103,212","3,333,861"
".San Francisco-Oakland-Berkeley, CA Metro Area","4,343,634","4,726,314"
".San Jose-Sunnyvale-Santa Clara, CA Metro Area","1,841,556","1,993,804"
".San Luis Obispo-Paso Robles, CA Metro Area","269,802","283,354"
".Santa Cruz-Watsonville, CA Metro Area","263,147","273,841"
".Santa Fe, NM Metro Area","144,522","149,761"
".Santa Maria-Santa Barbara, CA Metro Area","424,231","445,780"
".Santa Rosa-Petaluma, CA Metro Area","484,755","498,643"
".Savannah, GA Metro Area","348,640","389,453"
".Scranton--Wilkes-Barre, PA Metro Area","563,740","555,215"
".Seattle-Tacoma-Bellevue, WA Metro Area","3,449,241","3,935,179"
".Sebastian-Vero Beach, FL Metro Area","138,270","157,187"
".Sebring-Avon Park, FL Metro Area","98,635","104,933"
".Sheboygan, WI Metro Area","115,524","115,233"
".Sherman-Denison, TX Metro Area","121,034","133,787"
".Shreveport-Bossier City, LA Metro Area","399,935","397,281"
".Sierra Vista-Douglas, AZ Metro Area","131,822","126,411"
".Sioux City, IA-NE-SD Metro Area","143,901","143,787"
".Sioux Falls, SD Metro Area","229,099","263,810"
".South Bend-Mishawaka, IN-MI Metro Area","319,044","322,697"
".Spartanburg, SC Metro Area","284,731","314,137"
".Spokane-Spokane Valley, WA Metro Area","515,553","558,827"
".Springfield, IL Metro Area","210,465","207,928"
".Springfield, MA Metro Area","694,935","700,138"
".Springfield, MO Metro Area","437,349","466,273"
".Springfield, OH Metro Area","138,274","134,528"
".State College, PA Metro Area","154,230","162,601"
".Staunton, VA Metro Area","118,314","122,628"
".Stockton, CA Metro Area","687,127","752,491"
".Sumter, SC Metro Area","142,555","140,151"
".Syracuse, NY Metro Area","663,110","650,281"
".Tallahassee, FL Metro Area","369,345","384,318"
".Tampa-St. Petersburg-Clearwater, FL Metro Area","2,788,366","3,154,649"
".Terre Haute, IN Metro Area","189,523","186,726"
".Texarkana, TX-AR Metro Area","149,332","149,347"
".The Villages, FL Metro Area","94,278","128,719"
".Toledo, OH Metro Area","651,372","643,089"
".Topeka, KS Metro Area","234,266","232,266"
".Trenton-Princeton, NJ Metro Area","367,713","368,188"
".Tucson, AZ Metro Area","981,620","1,036,554"
".Tulsa, OK Metro Area","939,833","993,135"
".Tuscaloosa, AL Metro Area","239,481","251,257"
".Twin Falls, ID Metro Area","99,987","110,095"
".Tyler, TX Metro Area","210,408","229,749"
".Urban Honolulu, HI Metro Area","956,285","979,858"
".Utica-Rome, NY Metro Area","299,226","291,187"
".Valdosta, GA Metro Area","140,054","146,143"
".Vallejo, CA Metro Area","413,967","445,725"
".Victoria, TX Metro Area","94,102","99,466"
".Vineland-Bridgeton, NJ Metro Area","156,699","150,635"
".Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","1,717,036","1,763,713"
".Visalia, CA Metro Area","442,969","464,589"
".Waco, TX Metro Area","253,808","271,427"
".Walla Walla, WA Metro Area","58,915","60,615"
".Warner Robins, GA Metro Area","168,508","182,886"
".Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","5,678,491","6,247,841"
".Waterloo-Cedar Falls, IA Metro Area","167,920","168,936"
".Watertown-Fort Drum, NY Metro Area","116,592","111,866"
".Wausau-Weston, WI Metro Area","162,829","163,094"
".Weirton-Steubenville, WV-OH Metro Area","124,329","116,982"
".Wenatchee, WA Metro Area","111,264","119,501"
".Wheeling, WV-OH Metro Area","147,899","140,059"
".Wichita, KS Metro Area","623,887","637,519"
".Wichita Falls, TX Metro Area","151,649","150,955"
".Williamsport, PA Metro Area","116,225","113,866"
".Wilmington, NC Metro Area","255,699","294,273"
".Winchester, VA-WV Metro Area","128,652","139,492"
".Winston-Salem, NC Metro Area","641,245","671,129"
".Worcester, MA-CT Metro Area","918,935","946,113"
".Yakima, WA Metro Area","244,256","250,562"
".York-Hanover, PA Metro Area","435,413","447,847"
".Youngstown-Warren-Boardman, OH-PA Metro Area","564,826","538,226"
".Yuba City, CA Metro Area","167,099","173,905"
".Yuma, AZ Metro Area","197,127","211,612"