Index,  Total Population Change - Decade,  Natural Increase - Decade,  Births - Decade,  Deaths - Decade,  Total - Decade,  International - Decade,  Domestic - Decade,  Total Population Change - Annual,  Natural Increase - Annual,  Births - Annual,  Deaths - Annual,  Total - Annual,  International - Annual,  Domestic - Annual
434, -1649, -1029, 3103, 4132, -601, 210, -811, -50, -124, 323, 447, 75, 15, 60
435, -1489, -1728, 2274, 4002, 187, 39, 148, 77, -194, 225, 419, 272, -2, 274
436, 655, 351, 3873, 3522, 319, 430, -111, 53, 39, 396, 357, 15, 19, -4
437, 1652, 660, 4210, 3550, 961, 838, 123, 739, 89, 438, 349, 649, 81, 568
438, -4066, -809, 4176, 4985, -3295, 107, -3402, -483, -150, 375, 525, -332, 0, -332
439, 1206, 3146, 6429, 3283, -1975, 131, -2106, 682, 216, 593, 377, 469, 8, 461
440, -8514, -3521, 11117, 14638, -4943, 105, -5048, -930, -483, 1108, 1591, -443, -20, -423
441, -5830, 1199, 5904, 4705, -7097, -25, -7072, -585, 82, 580, 498, -671, -19, -652
442, -946, 86, 5489, 5403, -1009, -116, -893, -394, -35, 600, 635, -357, -16, -341
443, 1604, -791, 3105, 3896, 2427, 329, 2098, 329, -116, 321, 437, 446, 41, 405
444, 5116, 167, 3356, 3189, 4911, 253, 4658, 143, -20, 381, 401, 164, 43, 121
445, -1313, 470, 2677, 2207, -1790, 82, -1872, -181, 41, 256, 215, -224, 2, -226
446, 24919, 5836, 10887, 5051, 18837, 1465, 17372, 2752, 650, 1262, 612, 2084, 111, 1973
447, -2836, -936, 3863, 4799, -1881, 67, -1948, -325, -140, 367, 507, -184, 1, -185
448, 3757, 524, 9523, 8999, 3298, 251, 3047, 529, -84, 932, 1016, 611, 13, 598
449, 4256, 677, 5806, 5129, 3587, 238, 3349, 209, 60, 615, 555, 152, 7, 145
450, 3017, 2028, 2591, 563, 951, 1029, -78, 194, 197, 266, 69, -4, 101, -105
451, 2183, 197, 3691, 3494, 1999, 285, 1714, 386, -19, 364, 383, 407, -2, 409
452, 1296, -1267, 2460, 3727, 2570, -12, 2582, 212, -133, 261, 394, 346, -3, 349
453, -713, 266, 4065, 3799, -960, 80, -1040, -57, 10, 413, 403, -65, 6, -71
454, 561, -1759, 1631, 3390, 2311, -188, 2499, 130, -179, 166, 345, 308, -24, 332
455, 3111, 2093, 3890, 1797, 1021, 1407, -386, 0, 239, 443, 204, -241, 69, -310
456, -1503, 87, 1951, 1864, -1598, 19, -1617, -43, -44, 189, 233, 1, -1, 2
457, -242, -684, 3809, 4493, 469, 211, 258, 44, -58, 382, 440, 104, 13, 91
458, -2289, -614, 4390, 5004, -1664, 144, -1808, 10, -43, 455, 498, 54, 13, 41
459, 2050, 3090, 6509, 3419, -1047, 379, -1426, 559, 335, 699, 364, 225, 6, 219
460, -2040, -210, 4823, 5033, -1820, 169, -1989, -233, -29, 500, 529, -202, -11, -191
461, 706, -233, 3603, 3836, 960, 673, 287, 176, -55, 364, 419, 232, 51, 181
462, 1163, 575, 5336, 4761, 613, 182, 431, 202, 50, 551, 501, 153, 11, 142
463, 2742, 1712, 6410, 4698, 1061, 327, 734, 335, 98, 669, 571, 240, 23, 217
464, -694, -125, 3420, 3545, -548, 332, -880, -31, -55, 340, 395, 27, 8, 19
465, -1217, -36, 4201, 4237, -1158, 53, -1211, -136, -36, 426, 462, -98, -1, -97
466, -2925, -818, 3027, 3845, -2113, 38, -2151, -276, -98, 288, 386, -176, -1, -175
467, 944, 106, 4101, 3995, 838, 331, 507, 198, -8, 431, 439, 208, 7, 201
468, 1011, -1565, 3471, 5036, 2558, 108, 2450, -120, -183, 381, 564, 65, -5, 70
469, 4632, 2483, 7638, 5155, 2121, 569, 1552, 731, 255, 805, 550, 475, 47, 428
470, -651, 148, 2376, 2228, -801, 59, -860, 12, 13, 237, 224, -1, 7, -8
471, 8676, 4979, 7802, 2823, 3667, -130, 3797, 2161, 507, 830, 323, 1645, -30, 1675
472, 1118, 847, 5233, 4386, 276, 164, 112, 267, 91, 580, 489, 176, -5, 181
473, 356, 1615, 5384, 3769, -1250, 104, -1354, 220, 259, 644, 385, -37, 7, -44
474, -877, -318, 3199, 3517, -550, -13, -537, -189, -54, 340, 394, -135, -2, -133
475, -2232, -316, 4502, 4818, -1907, 118, -2025, -176, -10, 451, 461, -166, 10, -176
476, 5250, 292, 8271, 7979, 4965, 589, 4376, 1138, -15, 895, 910, 1152, 65, 1087
477, -3534, -14, 5745, 5759, -3543, 568, -4111, -246, -38, 571, 609, -207, 51, -258
478, -1410, 130, 7792, 7662, -1504, 166, -1670, -218, -5, 844, 849, -211, 9, -220
479, -1787, -1300, 9279, 10579, -434, 6, -440, -479, -277, 887, 1164, -195, -10, -185
480, -4021, 1015, 3790, 2775, -5081, -31, -5050, -481, 73, 355, 282, -555, -7, -548
481, -276, -969, 6824, 7793, 732, -169, 901, 69, -117, 731, 848, 189, -26, 215
482, -3525, 750, 4522, 3772, -4289, 119, -4408, -487, 7, 405, 398, -496, 23, -519
483, 2879, 2722, 5440, 2718, 50, 2939, -2889, 686, 220, 576, 356, 467, 341, 126
484, -2688, 67, 5191, 5124, -2772, 245, -3017, -8, -10, 508, 518, 3, 12, -9
485, 578, 4661, 8269, 3608, -4153, 1307, -5460, -384, 446, 824, 378, -829, -8, -821
486, -3639, -182, 3828, 4010, -3488, 564, -4052, -262, -34, 322, 356, -229, 61, -290
487, -1725, 807, 4885, 4078, -2535, 421, -2956, -49, 96, 515, 419, -143, 29, -172
488, -1184, 1716, 7305, 5589, -2886, 912, -3798, -165, 164, 774, 610, -328, 89, -417
489, 1233, 1870, 4436, 2566, -635, 597, -1232, 183, 180, 461, 281, 4, 73, -69
490, 4940, -43, 12391, 12434, 5104, 3462, 1642, 741, -83, 1305, 1388, 830, 279, 551
491, -1199, -601, 2303, 2904, -586, 76, -662, 26, -14, 271, 285, 42, 15, 27
492, 8217, -82, 11278, 11360, 8336, 1988, 6348, 1796, -52, 1206, 1258, 1846, 210, 1636
493, 1432, -2564, 5693, 8257, 4023, 122, 3901, 215, -338, 599, 937, 553, -15, 568
494, -1061, 402, 2705, 2303, -1488, 141, -1629, -245, -33, 256, 289, -213, 11, -224
495, -109, -217, 4017, 4234, 140, 27, 113, 143, -46, 411, 457, 190, -7, 197
496, 2296, 718, 4729, 4011, 1572, 96, 1476, -45, 88, 537, 449, -132, 2, -134
497, -3603, 719, 9839, 9120, -4306, 535, -4841, -481, -41, 981, 1022, -440, 49, -489
498, 2273, 1583, 6400, 4817, 714, 133, 581, 577, 141, 678, 537, 437, 9, 428
499, -1709, 323, 4403, 4080, -2037, 212, -2249, -141, 50, 472, 422, -191, 19, -210
500, -300, 512, 4217, 3705, -796, 61, -857, 4, 52, 460, 408, -46, 4, -50
501, -508, 771, 1659, 888, -1302, 86, -1388, 100, 89, 170, 81, 11, 19, -8
502, 217, 569, 4195, 3626, -328, 191, -519, 64, 37, 426, 389, 29, 44, -15
503, -798, 146, 2810, 2664, -982, 103, -1085, 72, 6, 261, 255, 68, 15, 53
504, 4460, -2362, 5042, 7404, 6768, 223, 6545, 782, -331, 512, 843, 1107, 20, 1087
505, 3362, -13, 9120, 9133, 3433, 322, 3111, 350, -60, 990, 1050, 414, 34, 380
506, 3961, 205, 5256, 5051, 3748, 631, 3117, 360, -87, 505, 592, 448, 78, 370
507, 1430, 361, 5928, 5567, 1050, 112, 938, -85, 34, 639, 605, -121, -3, -118
508, -6142, -3488, 9454, 12942, -2608, 446, -3054, -1152, -490, 934, 1424, -659, 20, -679
509, 1363, -44, 3578, 3622, 1421, 235, 1186, 256, -17, 388, 405, 272, 9, 263
510, 1393, 3415, 6242, 2827, -2028, 49, -2077, 182, 415, 676, 261, -231, 8, -239
511, -939, 459, 4059, 3600, -1403, 246, -1649, -2, 37, 427, 390, -37, 9, -46
512, 146, 4541, 7856, 3315, -4443, 653, -5096, 37, 380, 759, 379, -344, -15, -329
513, -1386, 780, 3544, 2764, -2169, 88, -2257, -168, 65, 346, 281, -231, 16, -247
514, 1846, 1224, 4660, 3436, 634, 263, 371, 128, 119, 531, 412, 12, 11, 1
515, 7434, 2304, 4474, 2170, 4928, 506, 4422, 606, 277, 516, 239, 332, 35, 297
516, -1942, -136, 3221, 3357, -1809, 50, -1859, -200, -38, 338, 376, -162, 7, -169
517, -225, 3722, 5931, 2209, -4000, 2131, -6131, -258, 340, 559, 219, -602, 240, -842
518, 711, 2307, 6633, 4326, -1645, 164, -1809, 121, 242, 714, 472, -121, -2, -119
519, -1202, 837, 7515, 6678, -2028, 103, -2131, 235, 43, 791, 748, 192, 6, 186
520, -2354, -1757, 6918, 8675, -533, 547, -1080, -317, -211, 732, 943, -102, 59, -161
521, -964, 2506, 3815, 1309, -3520, 957, -4477, -143, 239, 369, 130, -386, 29, -415
522, -1904, -296, 4900, 5196, -1588, 225, -1813, -36, -80, 491, 571, 47, 22, 25
523, 4886, 1824, 4881, 3057, 3020, -60, 3080, -78, 105, 472, 367, -180, -11, -169
524, 5579, 811, 5472, 4661, 4751, 158, 4593, 804, 47, 589, 542, 753, 14, 739
525, -1171, 188, 4350, 4162, -1349, 52, -1401, -127, -13, 445, 458, -113, -1, -112
526, 4464, 6536, 9990, 3454, -2075, 1598, -3673, 446, 649, 1042, 393, -204, 79, -283
527, -600, -940, 3099, 4039, 380, 166, 214, 107, -140, 338, 478, 251, 9, 242
528, 2926, 4837, 5870, 1033, -1929, 1022, -2951, 184, 430, 559, 129, -246, 118, -364
529, -238, 888, 4216, 3328, -1120, 110, -1230, -173, 94, 469, 375, -267, 6, -273
530, 276, 1239, 5165, 3926, -941, 18, -959, 57, 144, 564, 420, -85, -15, -70
531, -2957, -137, 4754, 4891, -2845, -20, -2825, -457, -70, 480, 550, -387, -1, -386
532, -826, 453, 5705, 5252, -1305, 557, -1862, 323, 63, 579, 516, 260, 26, 234
533, -260, 953, 3150, 2197, -1251, 9, -1260, 139, 56, 294, 238, 83, 3, 80
534, -710, -523, 2855, 3378, -168, 73, -241, -119, -66, 319, 385, -51, -2, -49
535, 3878, 4118, 6906, 2788, -337, -209, -128, 270, 406, 787, 381, -136, -45, -91
536, 7025, 1043, 3798, 2755, 5948, 735, 5213, 577, 119, 426, 307, 457, 81, 376
537, -639, 1123, 4029, 2906, -1792, 742, -2534, -57, 117, 407, 290, -174, 47, -221
538, 2387, 1103, 5844, 4741, 1272, 824, 448, 392, 29, 599, 570, 368, 34, 334
539, -1285, -712, 3328, 4040, -545, -8, -537, -59, -92, 342, 434, 36, -3, 39
540, -1299, 1043, 4795, 3752, -2343, 349, -2692, -102, -42, 417, 459, -58, 30, -88
541, -2980, -351, 2815, 3166, -2642, 39, -2681, -147, -64, 272, 336, -82, 13, -95
542, 947, 1330, 13502, 12172, -341, 167, -508, -686, -38, 1352, 1390, -642, -17, -625
543, -895, 1463, 2755, 1292, -2383, -79, -2304, -66, 119, 255, 136, -186, 0, -186
544, 1455, -116, 1403, 1519, 1572, 2195, -623, 39, -27, 158, 185, 68, 142, -74
545, -1160, -228, 2083, 2311, -928, 11, -939, -89, 10, 234, 224, -97, 1, -98
546, -361, -260, 5925, 6185, -48, 72, -120, -19, -79, 594, 673, 62, -17, 79
547, 34, 484, 2941, 2457, -474, 302, -776, 403, 67, 327, 260, 336, -5, 341
548, 2829, 2328, 6784, 4456, 517, 1625, -1108, 406, 253, 743, 490, 156, 181, -25
549, 1846, -362, 6721, 7083, 2223, -23, 2246, 478, -81, 693, 774, 559, -7, 566
550, 1445, -247, 6002, 6249, 1755, 432, 1323, 76, -36, 648, 684, 118, 31, 87
551, 5528, 129, 5424, 5295, 5375, -293, 5668, 1697, 45, 664, 619, 1645, -46, 1691
552, 994, 1600, 8384, 6784, -578, 1226, -1804, -137, 159, 881, 722, -296, 98, -394
553, -960, 90, 2099, 2009, -1043, 18, -1061, -122, -28, 197, 225, -94, 6, -100
554, -790, -1594, 6242, 7836, 870, 32, 838, 254, -200, 662, 862, 455, -6, 461
555, -3259, 566, 3155, 2589, -3861, 160, -4021, -515, -10, 305, 315, -506, 2, -508
556, -2107, -59, 4055, 4114, -2056, 411, -2467, -435, 3, 421, 418, -439, 28, -467
557, 325, 4516, 7312, 2796, -4301, 2625, -6926, 610, 379, 676, 297, 231, 48, 183
558, -3933, -399, 6208, 6607, -3531, 70, -3601, -408, -43, 620, 663, -365, 1, -366
559, 909, 1651, 4031, 2380, -753, 1203, -1956, 299, 198, 438, 240, 101, 171, -70
560, 393, 559, 7756, 7197, -117, 510, -627, 106, -24, 795, 819, 134, 44, 90
561, -4932, 5703, 9292, 3589, -10769, 1613, -12382, -672, 462, 828, 366, -1130, 31, -1161
562, -820, 745, 4072, 3327, -1578, 145, -1723, 207, 102, 422, 320, 107, 20, 87
563, 3008, 885, 7769, 6884, 2180, 612, 1568, 296, 107, 857, 750, 190, 34, 156
564, 2160, -919, 2315, 3234, 3079, 272, 2807, 286, -125, 248, 373, 409, 12, 397
565, -3210, -455, 4551, 5006, -2768, 199, -2967, -299, -71, 476, 547, -228, 24, -252
566, -120, 413, 4442, 4029, -520, 468, -988, -160, 54, 454, 400, -214, 61, -275
567, -2428, 148, 6111, 5963, -2570, 86, -2656, -222, -21, 603, 624, -199, 2, -201
568, 1812, 517, 6226, 5709, 1340, -93, 1433, 231, 28, 652, 624, 205, -9, 214
569, 2821, 1240, 4979, 3739, 1584, 361, 1223, 753, 113, 530, 417, 639, 23, 616
570, -3227, -1115, 5149, 6264, -2083, 754, -2837, -279, -61, 559, 620, -219, 77, -296
571, -118, 4418, 9926, 5508, -4557, 489, -5046, -544, 175, 817, 642, -721, 17, -738
572, -462, 4562, 6849, 2287, -5082, 1277, -6359, -164, 441, 672, 231, -610, 110, -720
573, 1905, -1368, 3041, 4409, 3304, -23, 3327, 416, -262, 287, 549, 675, -16, 691
574, 2369, -1682, 5241, 6923, 4073, 52, 4021, 448, -358, 521, 879, 804, -13, 817
575, 431, 4721, 8273, 3552, -4360, 310, -4670, 184, 293, 761, 468, -110, 71, -181
576, 2043, 577, 6288, 5711, 1494, 200, 1294, 135, 23, 670, 647, 114, -1, 115
577, 4311, 5328, 8759, 3431, -1040, 1053, -2093, 151, 476, 911, 435, -327, 147, -474
578, -2130, -631, 4935, 5566, -1485, 118, -1603, -250, -48, 517, 565, -203, 0, -203
579, 10480, -650, 5519, 6169, 11054, 342, 10712, 1466, -109, 627, 736, 1567, 2, 1565
580, 72, -505, 4284, 4789, 625, 62, 563, 79, -61, 441, 502, 144, 8, 136
581, -540, 967, 3348, 2381, -1518, 190, -1708, -91, 43, 306, 263, -134, 9, -143
582, -1893, 372, 3123, 2751, -2263, 31, -2294, -278, -33, 271, 304, -245, 5, -250
583, 244, -2254, 5954, 8208, 2548, 113, 2435, -95, -243, 665, 908, 153, 9, 144
584, 820, 651, 3096, 2445, 190, 187, 3, -166, 47, 320, 273, -215, 17, -232
585, -7226, 1219, 6660, 5441, -8517, 112, -8629, -1127, -43, 565, 608, -1088, 19, -1107
586, -1855, 293, 5748, 5455, -2138, 89, -2227, -186, 14, 618, 604, -199, 10, -209
587, -4849, 828, 5199, 4371, -5752, 57, -5809, -406, 32, 496, 464, -439, -7, -432
588, 1120, 1101, 7926, 6825, 58, 773, -715, 214, 8, 811, 803, 208, 76, 132
589, -1140, -253, 2482, 2735, -876, -26, -850, -226, -41, 247, 288, -185, -3, -182
590, -657, 1889, 3423, 1534, -2596, 817, -3413, -508, 201, 350, 149, -714, 61, -775
591, 1633, 1065, 2086, 1021, 566, 868, -302, 235, 90, 202, 112, 146, 119, 27
592, -117, 414, 4295, 3881, -503, 109, -612, 65, 61, 447, 386, 5, 12, -7
593, -50, -145, 4841, 4986, 123, -77, 200, 0, -77, 491, 568, 81, -11, 92
594, -4, 871, 3745, 2874, -863, 366, -1229, -151, 75, 391, 316, -227, 59, -286
595, 101, 934, 3252, 2318, -840, 530, -1370, -93, 46, 294, 248, -140, 44, -184
596, 16387, 5403, 7932, 2529, 10899, 1322, 9577, 1279, 564, 868, 304, 711, 155, 556
597, 6856, 1433, 7882, 6449, 5438, 157, 5281, 937, 56, 847, 791, 883, -15, 898
598, -3973, 305, 2759, 2454, -4337, -25, -4312, -272, 12, 267, 255, -285, -4, -281
599, -873, 577, 5235, 4658, -1451, 173, -1624, -100, 46, 571, 525, -145, 32, -177
600, -826, 1765, 3115, 1350, -2622, 184, -2806, -165, 161, 320, 159, -327, -2, -325
601, 2491, 4351, 11050, 6699, -1843, 278, -2121, 772, 363, 1115, 752, 413, 50, 363
602, -1086, 591, 4981, 4390, -1664, 29, -1693, -97, 29, 509, 480, -127, 2, -129
603, 16437, 6466, 21947, 15481, 10050, 4742, 5308, 4, 234, 2237, 2003, -216, 427, -643
604, 6344, 5350, 10279, 4929, 919, 1104, -185, 1527, 579, 1086, 507, 945, 22, 923
605, 6681, 3682, 12481, 8799, 3069, 574, 2495, 908, 360, 1285, 925, 553, 49, 504
606, 1036, 906, 2546, 1640, 139, 25, 114, 115, 79, 250, 171, 36, 1, 35
607, -1823, 643, 3944, 3301, -2474, -123, -2351, -209, 56, 393, 337, -266, -16, -250
608, -981, 137, 3610, 3473, -1141, 1261, -2402, -233, -3, 368, 371, -232, 64, -296
609, -3605, -1386, 4849, 6235, -2178, 516, -2694, -324, -187, 489, 676, -135, 43, -178
610, -856, -686, 3647, 4333, -132, 283, -415, -251, -178, 354, 532, -72, 35, -107
611, -603, 111, 3895, 3784, -705, 108, -813, 277, 21, 411, 390, 258, 20, 238
612, 5111, 977, 5746, 4769, 4100, 1513, 2587, -165, -1, 592, 593, -168, 151, -319
613, 996, 1072, 3092, 2020, -85, 1621, -1706, 17, 103, 305, 202, -85, 54, -139
614, -2513, -250, 6619, 6869, -2229, 229, -2458, -333, -29, 670, 699, -302, 38, -340
615, -752, 713, 3792, 3079, -1475, 138, -1613, 66, 47, 372, 325, 22, 5, 17
616, -4812, -894, 7555, 8449, -3912, 643, -4555, -368, -136, 760, 896, -231, 50, -281
617, -4273, 151, 2955, 2804, -4515, 43, -4558, -1101, -32, 275, 307, -1078, 3, -1081
618, -1057, -776, 2562, 3338, -268, -7, -261, -131, -87, 265, 352, -42, -2, -40
619, -806, 99, 3890, 3791, -898, 133, -1031, 47, 7, 408, 401, 42, 12, 30
620, 4143, 2557, 3663, 1106, 1536, 706, 830, 686, 245, 363, 118, 437, 94, 343
621, -2291, -375, 3824, 4199, -1907, 378, -2285, -345, -40, 398, 438, -306, 50, -356
622, 1812, 1996, 6916, 4920, -141, 156, -297, 265, 169, 722, 553, 97, 3, 94
623, -396, -59, 2134, 2193, -326, 128, -454, -171, 9, 223, 214, -181, 8, -189
624, -8004, -674, 12718, 13392, -7370, 1524, -8894, -569, -116, 1282, 1398, -450, 21, -471
625, -3499, -1956, 7318, 9274, -1495, 108, -1603, -148, -219, 750, 969, 74, -1, 75
626, 539, 1279, 6337, 5058, -720, 644, -1364, 63, 136, 690, 554, -72, 112, -184
627, 12516, 2353, 7545, 5192, 10117, 213, 9904, 2652, 304, 918, 614, 2337, 26, 2311
628, -224, 431, 3908, 3477, -640, 41, -681, -169, -26, 384, 410, -143, 6, -149
629, -170, 533, 3631, 3098, -722, 109, -831, 117, 2, 360, 358, 116, 8, 108
630, 698, 1767, 3479, 1712, -1073, 617, -1690, -63, 163, 340, 177, -227, 20, -247
631, 12879, 2377, 10303, 7926, 10453, 30, 10423, 1789, 196, 1113, 917, 1587, -42, 1629
632, 5198, 2469, 7902, 5433, 2788, 2802, -14, 125, 90, 794, 704, 39, 269, -230
633, 3566, 3205, 7095, 3890, 380, 728, -348, 263, 281, 712, 431, -15, 37, -52
634, -1037, -368, 6223, 6591, -631, 565, -1196, 184, -82, 636, 718, 269, 52, 217
635, 206, 1497, 5629, 4132, -1275, -3, -1272, 201, 177, 632, 455, 27, 15, 12
636, -2826, -109, 3946, 4055, -2732, 195, -2927, -347, -90, 357, 447, -258, 29, -287
637, 2956, -1875, 4812, 6687, 4829, 325, 4504, 185, -217, 530, 747, 403, 29, 374
638, 375, 677, 1540, 863, -305, 358, -663, 45, 65, 153, 88, -18, 24, -42
639, 1138, 190, 6687, 6497, 931, 3279, -2348, -529, -51, 685, 736, -477, 273, -750
640, 3089, 208, 3233, 3025, 2876, 244, 2632, 402, -28, 332, 360, 430, 40, 390
641, -1390, 1768, 4171, 2403, -3210, 876, -4086, -75, 163, 408, 245, -239, 50, -289
642, -3558, -625, 5994, 6619, -2923, 261, -3184, -41, -160, 608, 768, 122, 42, 80
643, -34, 577, 3044, 2467, -613, 828, -1441, -67, 101, 343, 242, -169, 101, -270
644, 1854, 234, 7360, 7126, 1647, 85, 1562, 551, -67, 767, 834, 618, -2, 620
645, 1228, -1440, 4828, 6268, 2721, 493, 2228, 158, -297, 478, 775, 460, 28, 432
646, 1091, 278, 2743, 2465, 822, 178, 644, 134, -3, 277, 280, 137, 11, 126
647, 1967, 1463, 11966, 10503, 560, 944, -384, -502, 36, 1240, 1204, -542, 100, -642
648, 4160, 117, 7437, 7320, 4042, 297, 3745, 1018, -59, 804, 863, 1069, 4, 1065
649, -1105, 447, 1710, 1263, -1597, 162, -1759, 123, 54, 181, 127, 70, 10, 60
650, 2581, 1911, 3659, 1748, 660, 1526, -866, 152, 143, 341, 198, 6, 259, -253
651, -2458, 113, 3098, 2985, -2603, 551, -3154, -169, -31, 277, 308, -139, 41, -180
652, -360, 2015, 10788, 8773, -2345, 130, -2475, -140, 66, 1065, 999, -203, 18, -221
653, -1337, 481, 4177, 3696, -1827, 144, -1971, 72, 9, 436, 427, 66, 13, 53
654, 2286, 374, 5275, 4901, 1928, 24, 1904, 371, 46, 585, 539, 326, -5, 331
655, 127, 708, 4388, 3680, -576, -34, -542, 127, 78, 474, 396, 51, -2, 53
656, -1486, -1915, 17387, 19302, 591, 2821, -2230, 79, -326, 1755, 2081, 419, 161, 258
657, 94, 993, 2927, 1934, -897, 80, -977, 50, 105, 306, 201, -55, -1, -54
658, -40, 187, 3719, 3532, -239, 337, -576, -94, -20, 402, 422, -74, 2, -76
659, 3764, 505, 3508, 3003, 3274, 247, 3027, 569, 67, 411, 344, 500, 15, 485
660, -541, 363, 5315, 4952, -862, 148, -1010, -73, 47, 574, 527, -117, 11, -128
661, -785, 1721, 3849, 2128, -2537, 938, -3475, -155, 210, 424, 214, -366, 116, -482
662, -1522, 2838, 4026, 1188, -4402, 958, -5360, -474, 293, 403, 110, -772, 106, -878
663, -1687, -322, 2779, 3101, -1378, 126, -1504, -294, -48, 286, 334, -245, 13, -258
664, -621, 169, 3845, 3676, -778, 116, -894, -64, -28, 368, 396, -33, 8, -41
665, -1281, 788, 4470, 3682, -2089, 817, -2906, -206, 37, 452, 415, -242, 112, -354
666, 24, 1999, 18156, 16157, -1919, 253, -2172, -26, 66, 1876, 1810, -86, -21, -65
667, 1419, 424, 1565, 1141, 964, 690, 274, 381, 62, 173, 111, 318, 62, 256
668, 455, -350, 2709, 3059, 831, 78, 753, 60, -21, 285, 306, 83, 4, 79
669, -56, 2576, 10851, 8275, -2578, 241, -2819, -95, 74, 1071, 997, -167, 6, -173
670, -3604, 4701, 16897, 12196, -8274, 511, -8785, -1259, 319, 1697, 1378, -1578, 58, -1636
671, -2934, -200, 2631, 2831, -2771, 685, -3456, -302, -38, 258, 296, -267, 77, -344
672, -92, -55, 3396, 3451, -12, 103, -115, 151, 22, 372, 350, 133, 10, 123
673, -2232, -527, 4970, 5497, -1687, 189, -1876, -338, -20, 525, 545, -318, 7, -325
674, -1095, -173, 2647, 2820, -949, 259, -1208, -129, -17, 262, 279, -111, 9, -120
675, -1579, 241, 4513, 4272, -1846, 182, -2028, -257, -80, 444, 524, -177, -6, -171
676, 760, -333, 3298, 3631, 1076, 29, 1047, 99, -18, 361, 379, 118, -1, 119
677, -2463, -433, 7431, 7864, -2018, 550, -2568, -34, -59, 757, 816, 31, 67, -36
678, -1876, -1152, 5615, 6767, -671, 165, -836, -200, -131, 594, 725, -66, 10, -76
679, -2648, -1848, 5293, 7141, -747, 54, -801, -199, -179, 541, 720, -14, 1, -15
680, -4294, -561, 7002, 7563, -3737, 187, -3924, -270, -60, 750, 810, -209, 26, -235
